Country,ISO3 Code,Datetime (UTC),Datetime (Local),Price (EUR/MWhe)
Germany,DEU,2022-08-28 07:00:00,2022-08-28 09:00:00,405.44
Germany,DEU,2022-08-28 08:00:00,2022-08-28 10:00:00,298.61
Germany,DEU,2022-08-28 09:00:00,2022-08-28 11:00:00,244.91
Germany,DEU,2022-08-28 10:00:00,2022-08-28 12:00:00,121.21
Germany,DEU,2022-08-28 11:00:00,2022-08-28 13:00:00,74.9
Germany,DEU,2022-08-28 12:00:00,2022-08-28 14:00:00,39.39
Germany,DEU,2022-08-28 13:00:00,2022-08-28 15:00:00,66.28
Germany,DEU,2022-08-28 14:00:00,2022-08-28 16:00:00,143.2
Germany,DEU,2022-08-28 15:00:00,2022-08-28 17:00:00,367.1
Germany,DEU,2022-08-28 16:00:00,2022-08-28 18:00:00,566.93
Germany,DEU,2022-08-28 17:00:00,2022-08-28 19:00:00,646.26
Germany,DEU,2022-08-28 18:00:00,2022-08-28 20:00:00,676.43
Germany,DEU,2022-08-28 19:00:00,2022-08-28 21:00:00,632.57
Germany,DEU,2022-08-28 20:00:00,2022-08-28 22:00:00,595.19
Germany,DEU,2022-08-28 21:00:00,2022-08-28 23:00:00,567.96
Germany,DEU,2022-08-28 22:00:00,2022-08-29 00:00:00,539.77
Germany,DEU,2022-08-28 23:00:00,2022-08-29 01:00:00,497.07
Germany,DEU,2022-08-29 00:00:00,2022-08-29 02:00:00,500.98
Germany,DEU,2022-08-29 01:00:00,2022-08-29 03:00:00,498.92
Germany,DEU,2022-08-29 02:00:00,2022-08-29 04:00:00,500.61
Germany,DEU,2022-08-29 03:00:00,2022-08-29 05:00:00,567.2
Germany,DEU,2022-08-29 04:00:00,2022-08-29 06:00:00,709.88
Germany,DEU,2022-08-29 05:00:00,2022-08-29 07:00:00,780.39
Germany,DEU,2022-08-29 06:00:00,2022-08-29 08:00:00,770.0
Germany,DEU,2022-08-29 07:00:00,2022-08-29 09:00:00,696.03
Germany,DEU,2022-08-29 08:00:00,2022-08-29 10:00:00,672.68
Germany,DEU,2022-08-29 09:00:00,2022-08-29 11:00:00,610.14
Germany,DEU,2022-08-29 10:00:00,2022-08-29 12:00:00,592.39
Germany,DEU,2022-08-29 11:00:00,2022-08-29 13:00:00,589.9
Germany,DEU,2022-08-29 12:00:00,2022-08-29 14:00:00,565.29
Germany,DEU,2022-08-29 13:00:00,2022-08-29 15:00:00,587.2
Germany,DEU,2022-08-29 14:00:00,2022-08-29 16:00:00,644.87
Germany,DEU,2022-08-29 15:00:00,2022-08-29 17:00:00,734.54
Germany,DEU,2022-08-29 16:00:00,2022-08-29 18:00:00,814.73
Germany,DEU,2022-08-29 17:00:00,2022-08-29 19:00:00,867.85
Germany,DEU,2022-08-29 18:00:00,2022-08-29 20:00:00,862.94
Germany,DEU,2022-08-29 19:00:00,2022-08-29 21:00:00,794.2
